Dates,latitude,longitude,u10,v10,t2m,valid_time
2025-02-17 00:00:00+00:00,67.6,26.4,0.7093119,1.3211452,260.88818,2025-02-17 02:00:00
2025-02-17 00:00:00+00:00,67.6,26.8,0.6640124,1.3677913,260.16113,2025-02-17 02:00:00
2025-02-17 00:00:00+00:00,67.2,26.4,0.7054438,0.69022477,258.82983,2025-02-17 02:00:00
2025-02-17 00:00:00+00:00,67.2,26.8,0.90409416,0.5212184,258.17322,2025-02-17 02:00:00
2025-02-18 00:00:00+00:00,67.6,26.4,2.7179346,-4.652771,266.26367,2025-02-18 02:00:00
2025-02-18 00:00:00+00:00,67.6,26.8,2.9084024,-4.5803757,266.10065,2025-02-18 02:00:00
2025-02-18 00:00:00+00:00,67.2,26.4,2.4538507,-4.8504715,266.65176,2025-02-18 02:00:00
2025-02-18 00:00:00+00:00,67.2,26.8,2.6223383,-4.746216,266.53473,2025-02-18 02:00:00
2025-02-19 00:00:00+00:00,67.6,26.4,2.7879248,-1.6733484,262.28583,2025-02-19 02:00:00
2025-02-19 00:00:00+00:00,67.6,26.8,2.8180647,-1.8851099,262.40646,2025-02-19 02:00:00
2025-02-19 00:00:00+00:00,67.2,26.4,2.6986856,-1.8327188,262.03967,2025-02-19 02:00:00
2025-02-19 00:00:00+00:00,67.2,26.8,2.778926,-2.016488,262.20856,2025-02-19 02:00:00
2025-02-20 00:00:00+00:00,67.6,26.4,3.3415432,0.2881024,264.37518,2025-02-20 02:00:00
2025-02-20 00:00:00+00:00,67.6,26.8,3.336833,0.18038106,264.18756,2025-02-20 02:00:00
2025-02-20 00:00:00+00:00,67.2,26.4,3.282216,0.2982571,263.78186,2025-02-20 02:00:00
2025-02-20 00:00:00+00:00,67.2,26.8,3.3312101,0.30131269,263.7486,2025-02-20 02:00:00
2025-02-01 00:00:00+00:00,67.6,26.4,-0.21416175,-2.5049725,266.55884,2025-02-01 04:00:00
2025-02-01 00:00:00+00:00,67.6,26.8,-0.14392936,-2.454794,265.7641,2025-02-01 04:00:00
2025-02-01 00:00:00+00:00,67.2,26.4,-0.26267326,-2.2996426,266.7425,2025-02-01 04:00:00
2025-02-01 00:00:00+00:00,67.2,26.8,-0.06688774,-2.285986,265.6472,2025-02-01 04:00:00
2025-02-02 00:00:00+00:00,67.6,26.4,-3.5178366,-1.4139061,269.06293,2025-02-02 04:00:00
2025-02-02 00:00:00+00:00,67.6,26.8,-3.6904287,-1.4553413,268.9952,2025-02-02 04:00:00
2025-02-02 00:00:00+00:00,67.2,26.4,-3.4110403,-1.6975975,269.06622,2025-02-02 04:00:00
2025-02-02 00:00:00+00:00,67.2,26.8,-3.538642,-1.6951714,269.1063,2025-02-02 04:00:00
2025-02-03 00:00:00+00:00,67.6,26.4,-2.7816677,-0.47863007,252.87233,2025-02-03 04:00:00
2025-02-03 00:00:00+00:00,67.6,26.8,-2.777914,-0.50302887,253.27055,2025-02-03 04:00:00
2025-02-03 00:00:00+00:00,67.2,26.4,-3.0060368,-0.7605438,253.83177,2025-02-03 04:00:00
2025-02-03 00:00:00+00:00,67.2,26.8,-3.0010357,-0.8766098,253.95915,2025-02-03 04:00:00
2025-02-04 00:00:00+00:00,67.6,26.4,-0.9816961,0.08625066,242.07327,2025-02-04 04:00:00
2025-02-04 00:00:00+00:00,67.6,26.8,-1.1700888,0.036415458,242.10114,2025-02-04 04:00:00
2025-02-04 00:00:00+00:00,67.2,26.4,-0.8743582,0.002453208,241.94708,2025-02-04 04:00:00
2025-02-04 00:00:00+00:00,67.2,26.8,-0.9480963,-0.12298548,241.60144,2025-02-04 04:00:00
2025-02-05 00:00:00+00:00,67.6,26.4,-1.3968639,5.6851044,260.08005,2025-02-05 04:00:00
2025-02-05 00:00:00+00:00,67.6,26.8,-1.4070187,5.7591095,259.73663,2025-02-05 04:00:00
2025-02-05 00:00:00+00:00,67.2,26.4,-1.3303566,5.6291084,260.46533,2025-02-05 04:00:00
2025-02-05 00:00:00+00:00,67.2,26.8,-1.3080597,5.6161346,260.1635,2025-02-05 04:00:00
2025-02-06 00:00:00+00:00,67.6,26.4,3.6620445,2.1456118,266.6868,2025-02-06 04:00:00
2025-02-06 00:00:00+00:00,67.6,26.8,3.7639046,2.015355,266.6954,2025-02-06 04:00:00
2025-02-06 00:00:00+00:00,67.2,26.4,3.6680412,1.8613024,266.71274,2025-02-06 04:00:00
2025-02-06 00:00:00+00:00,67.2,26.8,3.8174438,1.7740755,266.758,2025-02-06 04:00:00
2025-02-07 00:00:00+00:00,67.6,26.4,4.740406,4.01828,276.10327,2025-02-07 04:00:00
2025-02-07 00:00:00+00:00,67.6,26.8,4.69709,3.967577,275.88425,2025-02-07 04:00:00
2025-02-07 00:00:00+00:00,67.2,26.4,4.6030197,4.045601,275.35718,2025-02-07 04:00:00
2025-02-07 00:00:00+00:00,67.2,26.8,4.705639,3.9698925,275.17834,2025-02-07 04:00:00
2025-02-08 00:00:00+00:00,67.6,26.4,1.7873449,3.202321,270.3087,2025-02-08 04:00:00
2025-02-08 00:00:00+00:00,67.6,26.8,1.9285345,3.1140451,270.45758,2025-02-08 04:00:00
2025-02-08 00:00:00+00:00,67.2,26.4,1.5516806,3.3236322,270.12213,2025-02-08 04:00:00
2025-02-08 00:00:00+00:00,67.2,26.8,1.7392416,3.1934366,270.26987,2025-02-08 04:00:00
2025-02-09 00:00:00+00:00,67.6,26.4,3.3282518,4.007292,268.90295,2025-02-09 04:00:00
2025-02-09 00:00:00+00:00,67.6,26.8,3.3482256,3.8989239,268.99426,2025-02-09 04:00:00
2025-02-09 00:00:00+00:00,67.2,26.4,2.674611,3.7982044,269.15005,2025-02-09 04:00:00
2025-02-09 00:00:00+00:00,67.2,26.8,2.6988115,3.8211918,269.16336,2025-02-09 04:00:00
2025-02-10 00:00:00+00:00,67.6,26.4,4.2888393,-0.7220373,268.93646,2025-02-10 04:00:00
2025-02-10 00:00:00+00:00,67.6,26.8,4.370901,-0.7243109,268.88046,2025-02-10 04:00:00
2025-02-10 00:00:00+00:00,67.2,26.4,3.999525,-1.1516256,268.45987,2025-02-10 04:00:00
2025-02-10 00:00:00+00:00,67.2,26.8,4.1324368,-1.0570822,268.36655,2025-02-10 04:00:00
2025-02-11 00:00:00+00:00,67.6,26.4,4.378642,1.4467106,271.84094,2025-02-11 04:00:00
2025-02-11 00:00:00+00:00,67.6,26.8,4.3844404,1.4349766,271.43475,2025-02-11 04:00:00
2025-02-11 00:00:00+00:00,67.2,26.4,4.193557,1.7637424,270.61923,2025-02-11 04:00:00
2025-02-11 00:00:00+00:00,67.2,26.8,4.268821,1.7580128,270.35568,2025-02-11 04:00:00
2025-02-12 00:00:00+00:00,67.6,26.4,4.361766,-3.1101103,269.89215,2025-02-12 04:00:00
2025-02-12 00:00:00+00:00,67.6,26.8,4.5206785,-3.22301,269.96857,2025-02-12 04:00:00
2025-02-12 00:00:00+00:00,67.2,26.4,4.3089285,-2.9402494,270.2591,2025-02-12 04:00:00
2025-02-12 00:00:00+00:00,67.2,26.8,4.42784,-3.0808973,270.37946,2025-02-12 04:00:00
2025-02-13 00:00:00+00:00,67.6,26.4,1.8678312,-3.2720022,263.76572,2025-02-13 04:00:00
2025-02-13 00:00:00+00:00,67.6,26.8,1.8762922,-3.3649244,264.04703,2025-02-13 04:00:00
2025-02-13 00:00:00+00:00,67.2,26.4,1.7097273,-3.187747,262.72726,2025-02-13 04:00:00
2025-02-13 00:00:00+00:00,67.2,26.8,1.8222265,-3.2110472,262.9409,2025-02-13 04:00:00
2025-02-14 00:00:00+00:00,67.6,26.4,1.9647398,-2.35925,261.1939,2025-02-14 04:00:00
2025-02-14 00:00:00+00:00,67.6,26.8,1.9813261,-2.277339,260.95474,2025-02-14 04:00:00
2025-02-14 00:00:00+00:00,67.2,26.4,1.7671804,-2.2864866,260.07568,2025-02-14 04:00:00
2025-02-14 00:00:00+00:00,67.2,26.8,1.8354673,-2.2912817,260.20407,2025-02-14 04:00:00
2025-02-15 00:00:00+00:00,67.6,26.4,0.5404605,-4.109747,261.41275,2025-02-15 04:00:00
2025-02-15 00:00:00+00:00,67.6,26.8,0.47406954,-4.20545,261.5796,2025-02-15 04:00:00
2025-02-15 00:00:00+00:00,67.2,26.4,0.16232485,-4.3233166,262.07605,2025-02-15 04:00:00
2025-02-15 00:00:00+00:00,67.2,26.8,0.19996828,-4.4184933,262.26392,2025-02-15 04:00:00
2025-02-16 00:00:00+00:00,67.6,26.4,0.90915024,-1.4106941,263.4536,2025-02-16 04:00:00
2025-02-16 00:00:00+00:00,67.6,26.8,1.0310146,-1.2590828,263.03363,2025-02-16 04:00:00
2025-02-16 00:00:00+00:00,67.2,26.4,0.8132068,-1.0240974,262.17847,2025-02-16 04:00:00
2025-02-16 00:00:00+00:00,67.2,26.8,0.9505664,-0.9090309,261.78836,2025-02-16 04:00:00
2025-02-17 00:00:00+00:00,67.6,26.4,1.6230612,0.39346415,261.77783,2025-02-17 04:00:00
2025-02-17 00:00:00+00:00,67.6,26.8,1.7055655,0.792512,261.11584,2025-02-17 04:00:00
2025-02-17 00:00:00+00:00,67.2,26.4,1.1515036,0.9619151,259.4803,2025-02-17 04:00:00
2025-02-17 00:00:00+00:00,67.2,26.8,1.2615194,1.0285349,258.89044,2025-02-17 04:00:00
2025-02-18 00:00:00+00:00,67.6,26.4,2.506362,-5.454338,266.34055,2025-02-18 04:00:00
2025-02-18 00:00:00+00:00,67.6,26.8,2.4862127,-5.5588913,266.4346,2025-02-18 04:00:00
2025-02-18 00:00:00+00:00,67.2,26.4,2.7572088,-5.0697784,266.1914,2025-02-18 04:00:00
2025-02-18 00:00:00+00:00,67.2,26.8,2.8324118,-5.0748672,266.25598,2025-02-18 04:00:00
2025-02-19 00:00:00+00:00,67.6,26.4,2.8734589,-0.74151516,261.6379,2025-02-19 04:00:00
2025-02-19 00:00:00+00:00,67.6,26.8,2.837801,-0.9619131,261.68277,2025-02-19 04:00:00
2025-02-19 00:00:00+00:00,67.2,26.4,2.7759743,-0.8716955,261.20767,2025-02-19 04:00:00
2025-02-19 00:00:00+00:00,67.2,26.8,2.802351,-1.054038,261.4339,2025-02-19 04:00:00
2025-02-20 00:00:00+00:00,67.6,26.4,2.9909267,0.9416689,263.90445,2025-02-20 04:00:00
2025-02-20 00:00:00+00:00,67.6,26.8,3.0006409,0.7687182,263.71515,2025-02-20 04:00:00
2025-02-20 00:00:00+00:00,67.2,26.4,2.9541092,0.946155,263.27563,2025-02-20 04:00:00
2025-02-20 00:00:00+00:00,67.2,26.8,3.0414734,0.87185997,263.29688,2025-02-20 04:00:00
2025-02-01 00:00:00+00:00,67.6,26.4,0.100211725,-2.6961107,266.43103,2025-02-01 06:00:00
2025-02-01 00:00:00+00:00,67.6,26.8,0.18377267,-2.6615648,266.10455,2025-02-01 06:00:00
2025-02-01 00:00:00+00:00,67.2,26.4,0.037585843,-2.4398775,266.84387,2025-02-01 06:00:00
2025-02-01 00:00:00+00:00,67.2,26.8,0.2314335,-2.4475374,266.24854,2025-02-01 06:00:00
2025-02-02 00:00:00+00:00,67.6,26.4,-3.6026363,-1.0920134,268.23602,2025-02-02 06:00:00
2025-02-02 00:00:00+00:00,67.6,26.8,-3.7210522,-1.1519003,267.94147,2025-02-02 06:00:00
2025-02-02 00:00:00+00:00,67.2,26.4,-3.737112,-1.2446585,268.47504,2025-02-02 06:00:00
2025-02-02 00:00:00+00:00,67.2,26.8,-3.8149052,-1.2277441,268.23,2025-02-02 06:00:00
2025-02-03 00:00:00+00:00,67.6,26.4,-2.4392004,-0.46382076,252.0803,2025-02-03 06:00:00
